,title,opn_wknd,gross,budget,runtime,directors,writers,cast,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,days,dir_rank,wri_rank,cast_rank
10,The Dark Knight,158411483.0,5352.34033,1850.0,152.0,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman', 'Monique Gabriela Curnen', 'Ron Dean', 'Cillian Murphy', 'Chin Han', 'Nestor Carbonell', 'Eric Roberts', 'Ritchie Coster', 'Anthony Michael Hall']",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4468,1047,2253,17820
11,Rogue One: A Star Wars Story,155081681.0,5321.77324,2000.0,133.0,['Gareth Edwards'],"['Chris Weitz', 'Tony Gilroy']","['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen', 'Wen Jiang', 'Ben Mendelsohn', 'Guy Henry', 'Forest Whitaker', 'Riz Ahmed', 'Mads Mikkelsen', 'Jimmy Smits', 'Alistair Petrie', ""Genevieve O'Reilly"", 'Ben Daniels', 'Paul Kasey']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1395,1073,2215,17816
12,Star Wars: Episode IX - The Rise of Skywalker,177383864.0,5152.02542,2750.0,141.0,['J.J. Abrams'],"['Chris Terrio', 'J.J. Abrams']","['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,296,1066,2270,17844
13,Star Wars: Episode I - The Phantom Menace,64820970.0,4745.44677,1150.0,136.0,['George Lucas'],['George Lucas'],"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman', 'Jake Lloyd', 'Ian McDiarmid', 'Pernilla August', 'Oliver Ford Davies', 'Hugh Quarshie', 'Ahmed Best', 'Anthony Daniels', 'Kenny Baker', 'Frank Oz', 'Terence Stamp', 'Brian Blessed', 'Andy Secombe']",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7816,1034,2208,17648
14,Avengers: Age of Ultron,191271109.0,4590.05868,2500.0,141.0,['Joss Whedon'],"['Joss Whedon', 'Stan Lee']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1990,1075,2267,17763
15,The Dark Knight Rises,160887295.0,4481.39099,2500.0,164.0,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","['Christian Bale', 'Gary Oldman', 'Tom Hardy', 'Joseph Gordon-Levitt', 'Anne Hathaway', 'Marion Cotillard', 'Morgan Freeman', 'Michael Caine', 'Matthew Modine', 'Alon Aboutboul', 'Ben Mendelsohn', 'Burn Gorman', 'Daniel Sunjata', 'Aidan Gillen', 'Sam Kennard']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005,1047,2253,17821
16,Captain Marvel,153433423.0,4268.29839,1600.0,123.0,"['Anna Boden', 'Ryan Fleck']","['Anna Boden', 'Ryan Fleck']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law', 'Annette Bening', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Clark Gregg', 'Rune Temte', 'Algenis Perez Soto', 'Mckenna Grace', 'Akira Akbar', 'Matthew Maher']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,583,1078,2281,17812
17,The Hunger Games: Catching Fire,158074286.0,4246.68047,1300.0,146.0,['Francis Lawrence'],"['Simon Beaufoy', 'Michael Arndt']","['Jennifer Lawrence', 'Liam Hemsworth', 'Jack Quaid', 'Taylor St. Clair', 'Sandra Ellis Lafferty', 'Woody Harrelson', 'Josh Hutcherson', 'Paula Malcomson', 'Willow Shields', 'Donald Sutherland', 'Elizabeth Banks', 'Bruce Bundy', 'Nelson Ascencio', 'Lenny Kravitz', 'Stanley Tucci']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2515,1058,2256,17819
18,Pirates of the Caribbean: Dead Man's Chest,135634554.0,4233.15812,2250.0,151.0,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Bill Nighy', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', 'Kevin McNally', 'David Bailie', 'Stellan Skarsgård', 'Tom Hollander', 'Naomie Harris', 'Martin Klebba', 'David Schofield']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5210,1024,2221,17683
19,Jurassic World: Fallen Kingdom,148024610.0,4177.1976,1700.0,128.0,['J.A. Bayona'],"['Derek Connolly', 'Colin Trevorrow']","['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Toby Jones', 'Ted Levine', 'Jeff Goldblum', 'BD Wong', 'Geraldine Chaplin', 'Isabella Sermon', 'Robert Emms', 'Peter Jason', 'Kevin Layne']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,842,1076,2278,17802
