,gross_log,const,budget,runtime,PG,PG-13,R,Action,Adventure,Animation,Crime,Family,Fantasy,Horror,Sci-Fi,Thriller,dir_rank,wri_rank,cast_rank
0,20.65783328961983,1.0,245000000.0,138.0,0,1,0,1,1,0,0,0,0,0,1,0,1068,2259,17867
1,20.57054929491842,1.0,356000000.0,181.0,0,1,0,1,1,0,0,0,0,0,1,0,1082,2276,17846
2,20.449496695911847,1.0,237000000.0,162.0,0,1,0,1,1,0,0,0,1,0,1,0,844,1749,17614
3,20.36720008741108,1.0,200000000.0,134.0,0,1,0,1,1,0,0,0,0,0,1,0,1070,2282,17863
4,20.335859898960535,1.0,321000000.0,149.0,0,1,0,1,1,0,0,0,0,0,1,0,1082,2276,17846
5,20.295970102792015,1.0,150000000.0,124.0,0,1,0,1,1,0,0,0,0,0,1,0,1083,2265,17866
6,20.250631406175028,1.0,220000000.0,143.0,0,1,0,1,1,0,0,0,0,0,1,0,1077,2243,17865
7,16.967602740628994,1.0,60000000.0,89.0,0,1,0,1,1,0,0,0,0,0,1,1,1077,2243,17865
8,20.245522544831434,1.0,317000000.0,152.0,0,1,0,1,1,0,0,0,1,0,1,0,1065,2245,17867
9,20.226641798263465,1.0,200000000.0,118.0,1,0,0,1,1,1,0,1,0,0,1,0,1028,2173,17855
10,20.098214654068986,1.0,185000000.0,152.0,0,1,0,1,0,0,1,0,0,0,0,1,1049,2253,17837
11,20.092487307558024,1.0,200000000.0,133.0,0,1,0,1,1,0,0,0,0,0,1,0,1075,2215,17833
12,20.06007066674846,1.0,275000000.0,141.0,0,1,0,1,1,0,0,0,1,0,1,0,1068,2270,17861
13,19.977866327535498,1.0,115000000.0,136.0,1,0,0,1,1,0,0,0,1,0,1,0,1036,2208,17665
14,19.944573552256827,1.0,250000000.0,141.0,0,1,0,1,1,0,0,0,0,0,1,0,1077,2267,17780
15,19.92061423102686,1.0,250000000.0,164.0,0,1,0,1,1,0,0,0,0,0,0,0,1049,2253,17838
16,19.87189598825639,1.0,160000000.0,123.0,0,1,0,1,1,0,0,0,0,0,1,0,1080,2281,17829
17,19.866818355815454,1.0,130000000.0,146.0,0,1,0,1,1,0,0,0,0,0,1,1,1060,2256,17836
18,19.863629058915876,1.0,225000000.0,151.0,0,1,0,1,1,0,0,0,1,0,0,0,1026,2221,17700
19,19.850321335027914,1.0,170000000.0,128.0,0,1,0,1,1,0,0,0,0,0,1,0,1078,2278,17819
20,19.837900468289497,1.0,149000000.0,141.0,0,1,0,1,1,0,0,0,1,0,1,0,1006,2262,17722
21,19.829259928580676,1.0,200000000.0,130.0,0,1,0,1,1,0,0,0,0,0,1,0,1047,2269,17847
22,19.82698444874623,1.0,250000000.0,147.0,0,1,0,1,1,0,0,0,0,0,1,0,1082,2276,17846
23,19.82680393790742,1.0,78000000.0,142.0,0,1,0,1,1,0,0,0,0,0,1,1,1019,2279,17824
24,19.818261599791462,1.0,90000000.0,119.0,0,1,0,1,1,0,0,0,1,0,0,0,930,2219,17744
25,19.824379908905726,1.0,139000000.0,121.0,0,1,0,1,1,0,0,0,0,0,1,0,1010,2267,17747
26,19.81745677988573,1.0,63000000.0,127.0,0,1,0,1,1,0,0,0,0,0,1,1,792,1918,17440
27,19.81224089145169,1.0,200000000.0,149.0,0,1,0,1,1,0,0,0,0,0,1,0,1012,2209,17362
28,19.783020687761194,1.0,160000000.0,129.0,0,1,0,1,1,0,0,0,0,0,1,0,1067,2219,17815
29,19.781177954016304,1.0,200000000.0,136.0,0,1,0,1,1,0,0,0,0,0,1,0,1071,2277,17814
30,19.756393602037967,1.0,113000000.0,140.0,0,1,0,1,1,0,0,0,1,0,1,0,1036,2208,17740
31,19.749997011738294,1.0,94000000.0,201.0,0,1,0,1,1,0,0,0,1,0,0,0,1003,2196,17429
32,19.738658321950336,1.0,200000000.0,127.0,0,1,0,1,1,0,0,0,0,0,1,0,1010,2267,17598
33,19.7101081638935,1.0,58000000.0,108.0,0,0,1,1,1,0,0,0,0,0,1,0,1055,2195,17794
34,19.681998501385387,1.0,190000000.0,137.0,0,1,0,1,1,0,0,0,0,0,0,1,993,2229,17679
35,19.68025061568437,1.0,195000000.0,154.0,0,1,0,1,1,0,0,0,0,0,1,0,1012,2134,17694
36,19.673804710137368,1.0,58800000.0,133.0,0,0,1,1,0,0,0,0,0,0,0,0,274,102,16323
37,19.651932175224978,1.0,94000000.0,179.0,0,1,0,1,1,0,0,0,1,0,0,0,1003,2196,17429
38,19.635996626630035,1.0,125000000.0,123.0,0,1,0,1,1,0,0,0,0,0,1,1,1060,2240,17802
39,19.634198756486313,1.0,258000000.0,139.0,0,1,0,1,1,0,0,0,0,0,1,0,1010,2175,17526
40,19.629825571279046,1.0,160000000.0,143.0,0,1,0,1,1,0,0,0,1,0,1,0,993,2058,17531
41,19.62725358525081,1.0,175000000.0,133.0,0,1,0,1,1,0,0,0,0,0,1,0,1067,2268,17815
42,19.62418323769962,1.0,170000000.0,121.0,0,1,0,1,1,0,0,0,0,0,1,0,1071,2251,17761
43,19.615694114144784,1.0,250000000.0,152.0,1,0,0,1,1,0,0,0,0,0,1,0,1048,2270,17839
44,19.599643551376857,1.0,175000000.0,123.0,1,0,0,1,1,0,0,0,1,0,1,0,1025,2111,17800
45,19.598078750613393,1.0,110000000.0,119.0,0,0,1,1,1,0,0,0,0,0,1,0,1016,2195,17784
46,19.948905362343964,1.0,11000000.0,121.0,1,0,0,1,1,0,0,0,1,0,1,0,1036,2208,17712
47,19.581473127982015,1.0,150000000.0,144.0,0,1,0,1,1,0,0,0,0,0,1,0,1012,2209,17361
48,19.5808086330838,1.0,140000000.0,126.0,0,1,0,1,1,0,0,0,0,0,1,0,1064,2258,17697
49,19.5747312683576,1.0,185000000.0,122.0,0,1,0,1,1,0,0,0,0,0,0,0,792,2208,17710
50,19.573879843091426,1.0,125000000.0,123.0,0,1,0,1,1,0,0,0,1,0,0,0,930,2184,17744
51,19.569811068239257,1.0,93000000.0,178.0,0,1,0,1,1,0,0,0,1,0,0,0,1003,2196,17429
52,19.56826822411574,1.0,180000000.0,130.0,0,1,0,1,1,0,0,0,1,0,1,0,1074,2272,17773
53,19.559901663580344,1.0,200000000.0,124.0,0,1,0,1,1,0,0,0,0,0,1,0,1064,2267,17781
54,19.554263508348782,1.0,115000000.0,142.0,1,0,0,1,1,0,0,0,1,0,1,0,1036,2208,17529
55,19.55021150879184,1.0,300000000.0,169.0,0,1,0,1,1,0,0,0,1,0,0,0,1026,2221,17700
56,19.54984220835792,1.0,32500000.0,131.0,1,0,0,1,1,0,0,0,1,0,1,0,774,2208,17712
57,19.539648670376874,1.0,75000000.0,145.0,0,1,0,1,1,0,0,0,0,0,1,0,946,2119,16409
58,19.53717852272938,1.0,140000000.0,143.0,0,1,0,1,1,0,0,0,1,0,0,0,1026,2221,17700
59,19.533722679378634,1.0,200000000.0,143.0,0,1,0,1,1,0,0,0,0,0,0,1,926,2181,17605
60,19.526948425185395,1.0,250000000.0,153.0,1,0,0,1,1,0,0,1,1,0,0,0,1059,2264,17732
61,19.49423568643956,1.0,160000000.0,148.0,0,1,0,1,1,0,0,0,0,0,1,1,1049,2239,17179
62,19.49347394688073,1.0,150000000.0,138.0,0,1,0,1,1,0,0,1,1,0,0,0,1059,2246,17693
